Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName,SequencingEnabled,FacetableMultiSelect
Accessory Size,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Accessory Size,Accessory Size,,,,,,WSV,Accessory Size,,10,0,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
Application,STRING,1,0,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Application,,,,,,,WSV,Application,,10,0,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
EMR Carousel Badge,STRING,2,0,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Carousel Badge,EMR Carousel Badge,,,,,,EMR,Carousel Badge,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Electronics Mounting Connection,STRING,1,0,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Electronics Mounting Connection,EMR Electronics Mounting Connection,,,,,,EMR,Electronics Mounting Connection,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Electronics Mounting Connection Lookup Table,TRUE,TRUE
EMR Exit,STRING,2,0,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Exit,EMR Exit,,,,,,EMR,Exit,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Part Number Search,STRING,2,0,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Part Number Search,EMR Part Number Search,,,,,,EMR,Part Number Search,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Process Wetted Material,STRING,1,0,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Process Wetted Material,EMR Process Wetted Material,,,,,,EMR,Process Wetted Material,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Process Wetted Material Lookup Table,TRUE,TRUE
EMR Sensitivity,STRING,2,0,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Sensitivity,EMR Sensitivity,,,,,,EMR,Sensitivity,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
Filter Type,STRING,1,0,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Filter Type,Filter Type,,,,,,WSV,Filter Type,,10,0,2000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
Fits Vac Model,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Fits Vac Model,Fits Vac Model,,,,,,WSV,Fits Vac Model,,20,0,500,,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
