Identifier,LanguageId,ValueIdentifier,Sequence,Value,ValueUsage,AttributeValueField1,AttributeValueField3,Image1,Image2,Field1,Field2,Field3,Delete
Accessory Size,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Accessory_Size_3_ValueID,2,1-1/4 inch,1,,,,,,,,
Accessory Size,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Accessory_Size_2_ValueID,1,1-7/8 inch,1,,,,,,,,
Accessory Size,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Accessory_Size_1_ValueID,0,2-1/2 inch,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_12_ValueID,,Detailing Cleaning,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_24_ValueID,,Aviation,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_21_ValueID,,Carpet,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_11_ValueID,,Above the Floor,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_32_ValueID,,Storage,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_16_ValueID,,Hard Surface,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_7_ValueID,,Elevators,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_14_ValueID,,Flood Restoration,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_17_ValueID,,Transportation,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_6_ValueID,,Pest Management,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_5_ValueID,,Residential,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_3_ValueID,,Jobsite Maintenance,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_13_ValueID,,Overhead Pipes,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_29_ValueID,,Blower,1,,,,,,,,
