GroupIdentifier,ParentGroupIdentifier,ParentStoreIdentifier,Sequence,LanguageId,Name,ShortDescription,Delete
Climate-ImageDisclaimerGroup,,Climate,4,-1,ImageDisclaimerGroup,Image Disclaimer Group,1
Climate-CallToActionGroup,,Climate,3,-1,CallToActionGroup,Call To Action Group,0
Climate-CarouselBadgeGroup,,Climate,3,-1,CarouselBadgeGroup,Carousel Overlay Action Group,0
Climate-CertificationBadgeGroup,,Climate,3,-1,CertificationBadgeGroup,Certification Action Group,0
Climate-DocumentsDrawingsGroup,,Climate,5,-1,DocumentsDrawingsGroup,Documents And Drawings Group,0
Climate-FeaturesGroup,,Climate,3,-1,FeaturesGroup,Features Action Group,0
Climate-MobileAppsGroup,,Climate,7,-1,MobileAppsGroup,Mobile Apps Group,0
Climate-ProductFamilyGroup,,Climate,3,-1,ProductFamilyGroup,Product Family Group,0
Climate-RatingsReviewsGroup,,Climate,8,-1,RatingsReviewsGroup,Ratings And Reviews Group,0
Climate-RelatedProductsGroup,,Climate,9,-1,RelatedProductsGroup,Related Products Group,0
Climate-SpecificationGroup,,Climate,4,-1,SpecificationGroup,Specification Action Group,0
Climate-SpecificationGroup2,,Climate,4,-1,SpecificationGroup2,Specification Group 2,0
Climate-SpecificationGroup3,,Climate,4,-1,SpecificationGroup3,Specification Group 3,0
Climate-SpecificationGroup4,,Climate,4,-1,SpecificationGroup4,Specification Group 4,0
Climate-TabAndContentGroup,,Climate,3,-1,TabAndContentGroup,Tab And Content Action Group,0
Climate-TrainingServicesGroup,,Climate,6,-1,TrainingServicesGroup,Training And Services Group,0
Climate-UtilityBeltGroup,,Climate,10,-1,UtilityBeltGroup,Utility Belt Action Group,0
Climate-CallToActionGroup,,Climate,3,-1001,CallToActionGroup,Call To Action Group,0
Climate-CarouselBadgeGroup,,Climate,3,-1001,CarouselBadgeGroup,Carousel Overlay Action Group,0
Climate-CertificationBadgeGroup,,Climate,3,-1001,CertificationBadgeGroup,Certification Action Group,0
Climate-DocumentsDrawingsGroup,,Climate,5,-1001,DocumentsDrawingsGroup,Documents And Drawings Group,0
Climate-FeaturesGroup,,Climate,3,-1001,FeaturesGroup,Features Action Group,0
Climate-MobileAppsGroup,,Climate,7,-1001,MobileAppsGroup,Mobile Apps Group,0
Climate-ProductFamilyGroup,,Climate,3,-1001,ProductFamilyGroup,Product Family Group,0
Climate-RatingsReviewsGroup,,Climate,8,-1001,RatingsReviewsGroup,Ratings And Reviews Group,0
Climate-RelatedProductsGroup,,Climate,9,-1001,RelatedProductsGroup,Related Products Group,0
Climate-SpecificationGroup,,Climate,4,-1001,SpecificationGroup,Specification Action Group,0
Climate-SpecificationGroup2,,Climate,4,-1001,SpecificationGroup2,Specification Group 2,0
Climate-SpecificationGroup3,,Climate,4,-1001,SpecificationGroup3,Specification Group 3,0
Climate-SpecificationGroup4,,Climate,4,-1001,SpecificationGroup4,Specification Group 4,0
Climate-TabAndContentGroup,,Climate,3,-1001,TabAndContentGroup,Tab And Content Action Group,0
Climate-TrainingServicesGroup,,Climate,6,-1001,TrainingServicesGroup,Training And Services Group,0
Climate-UtilityBeltGroup,,Climate,10,-1001,UtilityBeltGroup,Utility Belt Action Group,0
Climate-CallToActionGroup,,Climate,3,-1002,CallToActionGroup,Call To Action Group,0
Climate-CarouselBadgeGroup,,Climate,3,-1002,CarouselBadgeGroup,Carousel Overlay Action Group,0
Climate-CertificationBadgeGroup,,Climate,3,-1002,CertificationBadgeGroup,Certification Action Group,0
Climate-DocumentsDrawingsGroup,,Climate,5,-1002,DocumentsDrawingsGroup,Documents And Drawings Group,0
Climate-FeaturesGroup,,Climate,3,-1002,FeaturesGroup,Features Action Group,0
Climate-MobileAppsGroup,,Climate,7,-1002,MobileAppsGroup,Mobile Apps Group,0
Climate-ProductFamilyGroup,,Climate,3,-1002,ProductFamilyGroup,Product Family Group,0
Climate-RatingsReviewsGroup,,Climate,8,-1002,RatingsReviewsGroup,Ratings And Reviews Group,0
Climate-RelatedProductsGroup,,Climate,9,-1002,RelatedProductsGroup,Related Products Group,0
Climate-SpecificationGroup,,Climate,4,-1002,SpecificationGroup,Specification Action Group,0
Climate-SpecificationGroup2,,Climate,4,-1002,SpecificationGroup2,Specification Group 2,0
Climate-SpecificationGroup3,,Climate,4,-1002,SpecificationGroup3,Specification Group 3,0
Climate-SpecificationGroup4,,Climate,4,-1002,SpecificationGroup4,Specification Group 4,0
Climate-TabAndContentGroup,,Climate,3,-1002,TabAndContentGroup,Tab And Content Action Group,0
Climate-TrainingServicesGroup,,Climate,6,-1002,TrainingServicesGroup,Training And Services Group,0
Climate-UtilityBeltGroup,,Climate,10,-1002,UtilityBeltGroup,Utility Belt Action Group,0
Climate-CallToActionGroup,,Climate,3,-1017,CallToActionGroup,Call To Action Group,0
Climate-CarouselBadgeGroup,,Climate,3,-1017,CarouselBadgeGroup,Carousel Overlay Action Group,0
Climate-CertificationBadgeGroup,,Climate,3,-1017,CertificationBadgeGroup,Certification Action Group,0
Climate-DocumentsDrawingsGroup,,Climate,5,-1017,DocumentsDrawingsGroup,Documents And Drawings Group,0
Climate-FeaturesGroup,,Climate,3,-1017,FeaturesGroup,Features Action Group,0
Climate-MobileAppsGroup,,Climate,7,-1017,MobileAppsGroup,Mobile Apps Group,0
Climate-ProductFamilyGroup,,Climate,3,-1017,ProductFamilyGroup,Product Family Group,0
Climate-RatingsReviewsGroup,,Climate,8,-1017,RatingsReviewsGroup,Ratings And Reviews Group,0
Climate-RelatedProductsGroup,,Climate,9,-1017,RelatedProductsGroup,Related Products Group,0
Climate-SpecificationGroup,,Climate,4,-1017,SpecificationGroup,Specification Action Group,0
Climate-SpecificationGroup2,,Climate,4,-1017,SpecificationGroup2,Specification Group 2,0
Climate-SpecificationGroup3,,Climate,4,-1017,SpecificationGroup3,Specification Group 3,0
Climate-SpecificationGroup4,,Climate,4,-1017,SpecificationGroup4,Specification Group 4,0
Climate-TabAndContentGroup,,Climate,3,-1017,TabAndContentGroup,Tab And Content Action Group,0
Climate-TrainingServicesGroup,,Climate,6,-1017,TrainingServicesGroup,Training And Services Group,0
Climate-UtilityBeltGroup,,Climate,10,-1017,UtilityBeltGroup,Utility Belt Action Group,0
