AttributeIdentifier,AttributeGroupIdentifier,ParentStoreIdentifier,Sequence,Delete
EMR Access Portal CTA,Climate-CallToActionGroup,EmersonCAS,0,0
EMR Check Availablity CTA,Climate-CallToActionGroup,EmersonCAS,1,0
EMR Check Order Status CTA,Climate-CallToActionGroup,EmersonCAS,2,0
EMR Configure CTA,Climate-CallToActionGroup,EmersonCAS,3,0
EMR Consult an Expert CTA,Climate-CallToActionGroup,EmersonCAS,4,0
EMR Contact Sales CTA,Climate-CallToActionGroup,EmersonCAS,5,0
EMR Contact Us CTA,Climate-CallToActionGroup,EmersonCAS,6,0
EMR Download Drawing CTA,Climate-CallToActionGroup,EmersonCAS,7,0
EMR Download Software CTA,Climate-CallToActionGroup,EmersonCAS,8,0
EMR Learn About CTA,Climate-CallToActionGroup,EmersonCAS,9,0
EMR Request Quote CTA,Climate-CallToActionGroup,EmersonCAS,10,0
EMR Select CTA,Climate-CallToActionGroup,EmersonCAS,11,0
EMR Size CTA,Climate-CallToActionGroup,EmersonCAS,12,0
EMR View Courses CTA,Climate-CallToActionGroup,EmersonCAS,13,0
EMR Where to Buy CTA,Climate-CallToActionGroup,EmersonCAS,14,0
EMR Email Us CTA,Climate-CallToActionGroup,EmersonCAS,15,0
EMR Find Product Information CTA,Climate-CallToActionGroup,EmersonCAS,16,0
EMR Watch Video CTA,Climate-CallToActionGroup,EmersonCAS,17,0
EMR View Replacement CTA,Climate-CallToActionGroup,EmersonCAS,18,0
EMR View Drawing CTA,Climate-CallToActionGroup,EmersonCAS,19,0
EMR View Animation CTA,Climate-CallToActionGroup,EmersonCAS,20,0
EMR View in OPI CTA,Climate-CallToActionGroup,EmersonCAS,21,0
EMR View Performance Data CTA,Climate-CallToActionGroup,EmersonCAS,22,0
EMR View in Select CTA,Climate-CallToActionGroup,EmersonCAS,23,0
EMR Lighting Calculator CTA,Climate-CallToActionGroup,EmersonCAS,24,0
EMR Select Online CTA,Climate-CallToActionGroup,EmersonCAS,25,0
EMR Spare Parts CTA,Climate-CallToActionGroup,EmersonCAS,26,0
EMR Controls Navigator CTA,Climate-CallToActionGroup,EmersonCAS,27,0
EMR Find a Pro Installer CTA,Climate-CallToActionGroup,EmersonCAS,28,0
EMR Request More Information CTA,Climate-CallToActionGroup,EmersonCAS,29,0
EMR Update Professional Version CTA,Climate-CallToActionGroup,EmersonCAS,30,0
EMR Technology Overview CTA,Climate-CallToActionGroup,EmersonCAS,31,0
EMR Calculate Line Size CTA,Climate-CallToActionGroup,EmersonCAS,32,0
EMR Select Line Size CTA,Climate-CallToActionGroup,EmersonCAS,33,0
EMR Purchase Software CTA,Climate-CallToActionGroup,EmersonCAS,34,0
EMR Download Basic Version CTA,Climate-CallToActionGroup,EmersonCAS,35,0
