AttributeIdentifier,AttributeGroupIdentifier,ParentStoreIdentifier,Sequence,Delete
EMR Access Portal CTA,EMR-CallToActionGroup,EMR,0,
EMR Check Availablity CTA,EMR-CallToActionGroup,EMR,1,
EMR Check Order Status CTA,EMR-CallToActionGroup,EMR,2,
EMR Configure CTA,EMR-CallToActionGroup,EMR,3,
EMR Consult an Expert CTA,EMR-CallToActionGroup,EMR,4,
EMR Contact Sales CTA,EMR-CallToActionGroup,EMR,5,
EMR Contact Us CTA,EMR-CallToActionGroup,EMR,6,
EMR Download Drawing CTA,EMR-CallToActionGroup,EMR,7,
EMR Download Software CTA,EMR-CallToActionGroup,EMR,8,
EMR Learn About CTA,EMR-CallToActionGroup,EMR,9,
EMR Request Quote CTA,EMR-CallToActionGroup,EMR,10,
EMR Select CTA,EMR-CallToActionGroup,EMR,11,
EMR Size CTA,EMR-CallToActionGroup,EMR,12,
EMR View Courses CTA,EMR-CallToActionGroup,EMR,13,
EMR Where to Buy CTA,EMR-CallToActionGroup,EMR,14,
EMR Email Us CTA,EMR-CallToActionGroup,EMR,15,
EMR Find Product Information CTA,EMR-CallToActionGroup,EMR,16,
EMR Watch Video CTA,EMR-CallToActionGroup,EMR,17,
EMR View Replacement CTA,EMR-CallToActionGroup,EMR,18,
EMR View Drawing CTA,EMR-CallToActionGroup,EMR,19,
EMR View Animation CTA,EMR-CallToActionGroup,EMR,20,
EMR View in OPI CTA,EMR-CallToActionGroup,EMR,21,
EMR View Performance Data CTA,EMR-CallToActionGroup,EMR,22,
EMR View in Select CTA,EMR-CallToActionGroup,EMR,23,
EMR Lighting Calculator CTA,EMR-CallToActionGroup,EMR,24,
EMR Select Online CTA,EMR-CallToActionGroup,EMR,25,
EMR Spare Parts CTA,EMR-CallToActionGroup,EMR,26,
EMR Controls Navigator CTA,EMR-CallToActionGroup,EMR,27,
EMR Find a Pro Installer CTA,EMR-CallToActionGroup,EMR,28,
EMR Request More Information CTA,EMR-CallToActionGroup,EMR,29,
EMR Update Professional Version CTA,EMR-CallToActionGroup,EMR,30,
EMR Technology Overview CTA,EMR-CallToActionGroup,EMR,31,
EMR Calculate Line Size CTA,EMR-CallToActionGroup,EMR,32,
EMR Select Line Size CTA,EMR-CallToActionGroup,EMR,33,
EMR Purchase Software CTA,EMR-CallToActionGroup,EMR,34,
EMR Download Basic Version CTA,EMR-CallToActionGroup,EMR,35,
EMR Download Select CTA,EMR-CallToActionGroup,EMR,36,
EMR View User Manual CTA,EMR-CallToActionGroup,EMR,37,
EMR Select Application CTA,EMR-CallToActionGroup,EMR,38,
EMR Certification Badge 1,EMR-CertificationBadgeGroup,EMR,0,
EMR Certification Badge 2,EMR-CertificationBadgeGroup,EMR,1,
EMR Certification Badge 3,EMR-CertificationBadgeGroup,EMR,2,
EMR Certification Badge 4,EMR-CertificationBadgeGroup,EMR,3,
EMR Certification Badge 5,EMR-CertificationBadgeGroup,EMR,4,
