AttributeIdentifier,AttributeGroupIdentifier,ParentStoreIdentifier,Sequence,Delete
EMR Certification Badge 1,InSinkErator-CertificationBadgeGroup,EmersonCAS,0,0
EMR Certification Badge 2,InSinkErator-CertificationBadgeGroup,EmersonCAS,1,0
EMR Certification Badge 3,InSinkErator-CertificationBadgeGroup,EmersonCAS,2,0
EMR Certification Badge 4,InSinkErator-CertificationBadgeGroup,EmersonCAS,3,0
EMR Certification Badge 5,InSinkErator-CertificationBadgeGroup,EmersonCAS,4,0
EMR Certification Badge 6,InSinkErator-CertificationBadgeGroup,EmersonCAS,5,0
EMR Certifications,InSinkErator-CertificationBadgeGroup,EmersonCAS,6,0
EMR Access Portal CTA,InSinkErator-CallToActionGroup,EmersonCAS,0,0
EMR Check Availablity CTA,InSinkErator-CallToActionGroup,EmersonCAS,4,0
EMR Check Order Status CTA,InSinkErator-CallToActionGroup,EmersonCAS,5,0
EMR Configure CTA,InSinkErator-CallToActionGroup,EmersonCAS,6,0
EMR Consult an Expert CTA,InSinkErator-CallToActionGroup,EmersonCAS,7,0
EMR Contact Sales CTA,InSinkErator-CallToActionGroup,EmersonCAS,8,0
EMR Contact Us CTA,InSinkErator-CallToActionGroup,EmersonCAS,9,0
EMR Download Drawing CTA,InSinkErator-CallToActionGroup,EmersonCAS,11,0
EMR Download Software CTA,InSinkErator-CallToActionGroup,EmersonCAS,12,0
EMR Learn About CTA,InSinkErator-CallToActionGroup,EmersonCAS,13,0
EMR Request Quote CTA,InSinkErator-CallToActionGroup,EmersonCAS,14,0
EMR Select CTA,InSinkErator-CallToActionGroup,EmersonCAS,15,0
EMR Size CTA,InSinkErator-CallToActionGroup,EmersonCAS,16,0
EMR View Courses CTA,InSinkErator-CallToActionGroup,EmersonCAS,19,0
EMR Where to Buy CTA,InSinkErator-CallToActionGroup,EmersonCAS,20,0
EMR Email Us CTA,InSinkErator-CallToActionGroup,EmersonCAS,21,0
EMR Find Product Information CTA,InSinkErator-CallToActionGroup,EmersonCAS,22,0
EMR Watch Video CTA,InSinkErator-CallToActionGroup,EmersonCAS,23,0
EMR Find a Pro Installer CTA,InSinkErator-CallToActionGroup,EmersonCAS,24,0
EMR View Replacement CTA,InSinkErator-CallToActionGroup,EmersonCAS,25,0
EMR View Drawing CTA,InSinkErator-CallToActionGroup,EmersonCAS,26,0
EMR View Animation CTA,InSinkErator-CallToActionGroup,EmersonCAS,27,0
EMR View in OPI CTA,InSinkErator-CallToActionGroup,EmersonCAS,29,0
EMR View in Select CTA,InSinkErator-CallToActionGroup,EmersonCAS,30,0
EMR View Performance Data CTA,InSinkErator-CallToActionGroup,EmersonCAS,31,0
EMR Lighting Calculator CTA,InSinkErator-CallToActionGroup,EmersonCAS,34,0
EMR Select Online CTA,InSinkErator-CallToActionGroup,EmersonCAS,35,0
EMR Spare Parts CTA,InSinkErator-CallToActionGroup,EmersonCAS,36,0
EMR Controls Navigator CTA,InSinkErator-CallToActionGroup,EmersonCAS,39,0
EMR Request More Information,InSinkErator-CallToActionGroup,EmersonCAS,40,0
EMR Update Professional Version,InSinkErator-CallToActionGroup,EmersonCAS,41,0
EMR Technology Overview,InSinkErator-CallToActionGroup,EmersonCAS,42,0
EMR Calculate Line Size,InSinkErator-CallToActionGroup,EmersonCAS,43,0
EMR Select Line Size,InSinkErator-CallToActionGroup,EmersonCAS,44,0
EMR Purchase Software,InSinkErator-CallToActionGroup,EmersonCAS,45,0
EMR Download Basic Version,InSinkErator-CallToActionGroup,EmersonCAS,46,0
EMR Training CTA,InSinkErator-TrainingServicesGroup,EmersonCAS,17,0
EMR Generic Spec 1 Label,InSinkErator-SpecificationGroup,EmersonCAS,0,0
EMR Generic Spec 1 Value,InSinkErator-SpecificationGroup,EmersonCAS,1,0
EMR Generic Spec 2 Label,InSinkErator-SpecificationGroup,EmersonCAS,2,0
EMR Generic Spec 2 Value,InSinkErator-SpecificationGroup,EmersonCAS,3,0
EMR Generic Spec 3 Label,InSinkErator-SpecificationGroup,EmersonCAS,4,0
EMR Generic Spec 3 Value,InSinkErator-SpecificationGroup,EmersonCAS,5,0
EMR Generic Spec 4 Label,InSinkErator-SpecificationGroup,EmersonCAS,6,0
