AttributeIdentifier,AttributeGroupIdentifier,ParentStoreIdentifier,Sequence,Delete
EMR Access Portal CTA,ProTeam-CallToActionGroup,EmersonCAS,0,0
EMR Check Availablity CTA,ProTeam-CallToActionGroup,EmersonCAS,1,0
EMR Check Order Status CTA,ProTeam-CallToActionGroup,EmersonCAS,2,0
EMR Configure CTA,ProTeam-CallToActionGroup,EmersonCAS,3,0
EMR Consult an Expert CTA,ProTeam-CallToActionGroup,EmersonCAS,4,0
EMR Contact Sales CTA,ProTeam-CallToActionGroup,EmersonCAS,5,0
EMR Contact Us CTA,ProTeam-CallToActionGroup,EmersonCAS,6,0
EMR Download Drawing CTA,ProTeam-CallToActionGroup,EmersonCAS,7,0
EMR Download Software CTA,ProTeam-CallToActionGroup,EmersonCAS,8,0
EMR Learn About CTA,ProTeam-CallToActionGroup,EmersonCAS,9,0
EMR Request Quote CTA,ProTeam-CallToActionGroup,EmersonCAS,10,0
EMR Select CTA,ProTeam-CallToActionGroup,EmersonCAS,11,0
EMR Size CTA,ProTeam-CallToActionGroup,EmersonCAS,12,0
EMR View Courses CTA,ProTeam-CallToActionGroup,EmersonCAS,13,0
EMR Where to Buy CTA,ProTeam-CallToActionGroup,EmersonCAS,14,0
EMR Email Us CTA,ProTeam-CallToActionGroup,EmersonCAS,15,0
EMR Find Product Information CTA,ProTeam-CallToActionGroup,EmersonCAS,16,0
EMR Watch Video CTA,ProTeam-CallToActionGroup,EmersonCAS,17,0
EMR View Replacement CTA,ProTeam-CallToActionGroup,EmersonCAS,18,0
EMR View Drawing CTA,ProTeam-CallToActionGroup,EmersonCAS,19,0
EMR View Animation CTA,ProTeam-CallToActionGroup,EmersonCAS,20,0
EMR View in OPI CTA,ProTeam-CallToActionGroup,EmersonCAS,21,0
EMR View Performance Data CTA,ProTeam-CallToActionGroup,EmersonCAS,22,0
EMR View in Select CTA,ProTeam-CallToActionGroup,EmersonCAS,23,0
EMR Lighting Calculator CTA,ProTeam-CallToActionGroup,EmersonCAS,24,0
EMR Select Online CTA,ProTeam-CallToActionGroup,EmersonCAS,25,0
EMR Spare Parts CTA,ProTeam-CallToActionGroup,EmersonCAS,26,0
EMR Controls Navigator CTA,ProTeam-CallToActionGroup,EmersonCAS,27,0
EMR Find a Pro Installer CTA,ProTeam-CallToActionGroup,EmersonCAS,28,0
EMR Request More Information CTA,ProTeam-CallToActionGroup,EmersonCAS,29,0
EMR Update Professional Version CTA,ProTeam-CallToActionGroup,EmersonCAS,30,0
EMR Technology Overview CTA,ProTeam-CallToActionGroup,EmersonCAS,31,0
EMR Calculate Line Size CTA,ProTeam-CallToActionGroup,EmersonCAS,32,0
EMR Select Line Size CTA,ProTeam-CallToActionGroup,EmersonCAS,33,0
EMR Purchase Software CTA,ProTeam-CallToActionGroup,EmersonCAS,34,0
EMR Download Basic Version CTA,ProTeam-CallToActionGroup,EmersonCAS,35,0
EMR Download Select CTA,ProTeam-CallToActionGroup,EmersonCAS,36,0
EMR View User Manual CTA,ProTeam-CallToActionGroup,EmersonCAS,37,0
EMR Select Application CTA,ProTeam-CallToActionGroup,EmersonCAS,38,0
EMR Certification Badge 1,ProTeam-CertificationBadgeGroup,EmersonCAS,0,0
EMR Certification Badge 2,ProTeam-CertificationBadgeGroup,EmersonCAS,1,0
EMR Certification Badge 3,ProTeam-CertificationBadgeGroup,EmersonCAS,2,0
EMR Certification Badge 4,ProTeam-CertificationBadgeGroup,EmersonCAS,3,0
EMR Certification Badge 5,ProTeam-CertificationBadgeGroup,EmersonCAS,4,0
EMR Certification Badge 6,ProTeam-CertificationBadgeGroup,EmersonCAS,5,0
EMR Certifications,ProTeam-CertificationBadgeGroup,EmersonCAS,6,0
EMR Features,ProTeam-FeaturesGroup,EmersonCAS,0,0
EMR Product Family 1,ProTeam-ProductFamilyGroup,EmersonCAS,1,0
EMR Product Family 2,ProTeam-ProductFamilyGroup,EmersonCAS,2,0
EMR Product Family 3,ProTeam-ProductFamilyGroup,EmersonCAS,3,0
