Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Management,STORE,Short Description
FALSE,ProTeam-Agreements-ProTeam-Sales,PROTEAM_LITERATURE_CATALOG,Agreements-ProTeam Sales,ProTeam-Agreements-ProTeam-Sales,,,,PROTEAM,
FALSE,ProTeam-L-Bids-Specs,PROTEAM_LITERATURE_CATALOG,Bid Specs,ProTeam-L-Bids,,,,PROTEAM,Bid Specs
FALSE,ProTeam-L-Charts,PROTEAM_LITERATURE_CATALOG,Charts,ProTeam-L-Charts,,,,PROTEAM,
FALSE,ProTeam-L-Contracts-and-Agreements,PROTEAM_LITERATURE_CATALOG,Contracts and Agreements,ProTeam-L-Contracts-and-Agreements,,,,PROTEAM,Contracts and Agreements
FALSE,ProTeam-L-Demo-and-Leasing-Program,PROTEAM_LITERATURE_CATALOG,Demo and Leasing Program,ProTeam-L-Demo-and-Leasing-Program,,,,PROTEAM,Demo and Leasing Program
FALSE,ProTeam-L-Directories,PROTEAM_LITERATURE_CATALOG,Directories,ProTeam-L-Directories,,,,PROTEAM,Directories
FALSE,ProTeam-L-Discount-Sheets,PROTEAM_LITERATURE_CATALOG,Discount Sheets,ProTeam-L-Discount-Sheets,,,,PROTEAM,Discount Sheets
FALSE,ProTeam-L-Flyers,PROTEAM_LITERATURE_CATALOG,Flyers,ProTeam-L-Flyers,,,,PROTEAM,
FALSE,ProTeam-L-Forms,PROTEAM_LITERATURE_CATALOG,Forms,ProTeam-L-Forms,,,,PROTEAM,
FALSE,ProTeam-L-IMAP-Policy,PROTEAM_LITERATURE_CATALOG,IMAP Policy,ProTeam-L-IMAP-Policy,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Customized-Folders,PROTEAM_LITERATURE_CATALOG,Literature-Customized Folders,ProTeam-L-Literature-Customized-Folders,,,,PROTEAM,
FALSE,ProTeam-L-Literature-French,PROTEAM_LITERATURE_CATALOG,Literature-French,ProTeam-L-Literature-French,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Market Segments,PROTEAM_LITERATURE_CATALOG,Literature-Market Segments,ProTeam-L-Literature-Market Segment,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Misc,PROTEAM_LITERATURE_CATALOG,Literature-Misc,ProTeam-L-Literature-Misc,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Product-Brochure,PROTEAM_LITERATURE_CATALOG,Literature-Product Brochure,ProTeam-L-Literature-Product-Brochure,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Product-Price-Guides,PROTEAM_LITERATURE_CATALOG,Literature-Product/Price Guides,ProTeam-L-Literature-Product-Price-Guides,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Productivity,PROTEAM_LITERATURE_CATALOG,Literature-Productivity,ProTeam-L-Literature-Productivity,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Spanish-Other-Languages,PROTEAM_LITERATURE_CATALOG,Literature-Spanish/Other Languages,ProTeam-L-Literature-Spanish-Other-Languages,,,,PROTEAM,
FALSE,ProTeam-L-Literature-Team-Cleaning,PROTEAM_LITERATURE_CATALOG,Literature-Team Cleaning,ProTeam-L-Literature-Team-Cleaning,,,,PROTEAM,
FALSE,ProTeam-L-Logos,PROTEAM_LITERATURE_CATALOG,Logos,ProTeam-L-Logos,,,,PROTEAM,
FALSE,ProTeam-L-Photos-Filters,PROTEAM_LITERATURE_CATALOG,Photos-Filters,ProTeam-L-Photos-Filters,,,,PROTEAM,
FALSE,ProTeam-L-Photos-Product-in-Use,PROTEAM_LITERATURE_CATALOG,Photos-Product in Use,ProTeam-L-Photos-Product-in-Use,,,,PROTEAM,
FALSE,ProTeam-L-Photos-Product-Stills,PROTEAM_LITERATURE_CATALOG,Photos-Product Stills,ProTeam-L-Photos-Product-Stills,,,,PROTEAM,
FALSE,ProTeam-L-Presentations,PROTEAM_LITERATURE_CATALOG,Presentations,ProTeam-L-Presentations,,,,PROTEAM,
FALSE,ProTeam-L-Presentations-ProTeam-Sales,PROTEAM_LITERATURE_CATALOG,Presentations-ProTeam Sales,ProTeam-L-Presentations-ProTeam-Sales,,,,PROTEAM,
FALSE,ProTeam-L_Price Sheets-ProTeam-Sales,PROTEAM_LITERATURE_CATALOG,Price Sheets-ProTeam Sales,ProTeam-L_Price Sheets-ProTeam-Sales,,,,PROTEAM,
FALSE,ProTeam-L-ProPartner-Information,PROTEAM_LITERATURE_CATALOG,ProPartner Information,ProTeam-L-ProPartner-Information,,,,PROTEAM,ProPartner Information
FALSE,ProTeam-L-Coupons,PROTEAM_LITERATURE_CATALOG,Coupons,ProTeam-L-Coupons,,,,PROTEAM,
FALSE,ProTeam-L-Product-Updates,PROTEAM_LITERATURE_CATALOG,Product Updates,ProTeam-L-Product-Updates,,,,PROTEAM,
FALSE,ProTeam-L-Recommended-Stock-Parts,PROTEAM_LITERATURE_CATALOG,Recommended Stock Parts,ProTeam-L-Recommended-Stock-Parts,,,,PROTEAM,
FALSE,ProTeam-L-Rep-Contact-Information,PROTEAM_LITERATURE_CATALOG,Rep Contact Information,ProTeam-L-Rep-Contact-Information,,,,PROTEAM,Rep Contact Information
FALSE,ProTeam-L-Return-Policy,PROTEAM_LITERATURE_CATALOG,Return Policy,ProTeam-L-Return-Policy,,,,PROTEAM,
FALSE,ProTeam-L-Rewards-Program,PROTEAM_LITERATURE_CATALOG,Rewards Program,ProTeam-L-Rewards-Program,,,,PROTEAM,
FALSE,ProTeam-L-Sales-Information,PROTEAM_LITERATURE_CATALOG,Sales Information,ProTeam-L-Sales-Information,,,,PROTEAM,
