Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Ordered List,Delete
FALSE,Automation-Solutions,,Automation Solutions,automation-solutions,Products - Automation Solutions | Emerson,Browse Emerson Automation Solutions products,Category | Brand | EMR Industry,
FALSE,Commercial-and-Residential-Solutions,,Commercial and Residential Solutions,commercial-residential-solutions,,,Category | EMR Platform,
FALSE,Asset-Reliability,Automation-Solutions,Asset Reliability,,Products - Asset Reliability | Emerson,Browse Asset Reliability products,Category | Brand | EMR Industry,
FALSE,Ceiling-Fans-and-Lighting,Commercial-and-Residential-Solutions,Ceiling Fans and Lighting,ceiling-fans-lighting,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Cleaning-Systems-and-Cell-Disruptors,Commercial-and-Residential-Solutions,Cleaning Systems and Cell Disruptors,cleaning-systems-and-cell-disruptors,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Construction-Plumbing-Tools,Commercial-and-Residential-Solutions,Construction and Plumbing Tools,construction-and-plumbing-tools,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Control-Safety-Systems,Automation-Solutions,Control and Safety Systems,control-safety-systems,Products - Control and Safety Systems | Emerson,Browse Control and Safety Systems products,Category | Brand | EMR Industry,
FALSE,Controls-and-Monitoring-Systems,Commercial-and-Residential-Solutions,Controls and Monitoring Systems,controls-and-monitoring-systems,,,,
FALSE,Electrical-Components-Lighting,Automation-Solutions,Electrical Components and Lighting,,Products - Electrical Components and Lighting|Emerson,Browse Electrical Components and Lighting products,Category | Brand | EMR Industry,
FALSE,Electrical-Construction-Materials-and-Lighting,Commercial-and-Residential-Solutions,Electrical Construction Materials and Lighting,electrical-construction-materials-and-lighting,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Food-Waste-Disposals,Commercial-and-Residential-Solutions,Food Waste Disposals,food-waste-disposals,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Grind2Energy,Commercial-and-Residential-Solutions,Grind2Energy,grind2energy,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Heating-and-Air-Conditioning,Commercial-and-Residential-Solutions,Heating and Air Conditioning,heating-and-air-conditioning,,,Category | EMR Platform,
FALSE,Home-Repair-and-Maintenance,Commercial-and-Residential-Solutions,Home Repair and Maintenance,home-repair-and-maintenance,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Hot-Water-Dispensers,Commercial-and-Residential-Solutions,Hot Water Dispensers,hot-water-dispensers,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Indoor-Outdoor-Heating-Cables,Commercial-and-Residential-Solutions,Indoor/Outdoor Heating Cables,indoor-outdoor-heating-cables,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Measurement-Instrumentation,Automation-Solutions,Measurement Instrumentation,measurement-instrumentation,Products - Measurement Instrumentation | Emerson,Browse Measurement Instrumentation products,Category | Brand | EMR Industry | EMR Product Type,
FALSE,Operations-Business-Management,Automation-Solutions,Operations and Business Management,,Products - Operations and Business Management | Emerson,Browse Operations and Business Management products,Category | Brand | EMR Industry,
FALSE,Precision-Welding-Cleaning,Automation-Solutions,Precision Welding and Cleaning,,Products - Precision Welding and Cleaning|Emerson,Browse Precision Welding and Cleaning products,Category | Brand | EMR Industry | EMR Segment,
FALSE,Refrigeration,Commercial-and-Residential-Solutions,Refrigeration,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry | EMR Refrigerant Type | EMR Product Type | EMR Capacity Range | EMR Application | EMR Voltage | EMR Frequency,
FALSE,Sensing-and-Protection-Devices,Commercial-and-Residential-Solutions,Sensing and Protection Devices,,,,,
FALSE,Solenoids-Pneumatics,Automation-Solutions,Solenoids and Pneumatics,solenoids-pneumatics,Products - Solenoids and Pneumatics | Emerson,Browse Solenoids and Pneumatics products,Category | Brand | EMR Industry | EMR Application,
FALSE,Thermostats,Commercial-and-Residential-Solutions,Thermostats,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Vacuum-Equipment,Commercial-and-Residential-Solutions,Vacuum Equipment,vacuum-equipment,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Valves-Actuators-Regulators,Automation-Solutions,Valves,,"Products - Valves, Actuators and Regulators | Emerson","Browse Valves, Actuators and Regulators products",Category | Brand | EMR Industry,
FALSE,Accessories,Indoor-Outdoor-Heating-Cables,Accessories,accessories--1,,,,
FALSE,Actuators,Valves-Actuators-Regulators,Actuators,,Products - Actuators | Emerson,Browse Actuators products,Category | Brand | EMR Product Type | EMR Industry | EMR Application | EMR Actuation | EMR Power Source | EMR Control Type | EMR Valve Type | EMR Certifications | EMR Area Classification | EMR Operating Pressure | EMR Operating Temperature,
FALSE,Air-Preparation,Solenoids-Pneumatics,Air Preparation,,Products - Air Preparation | Emerson,Browse Air Preparation products,Category | EMR Pipe Port Size | EMR Operating Environment | EMR Standards | EMR Application | Brand | EMR Industry,
FALSE,Alarm-devices-Controls,Controls-and-Monitoring-Systems,Alarm devices Controllers ,alarm-devices-controls,,,,
FALSE,Asset-Monitoring,Asset-Reliability,Asset Monitoring,,Products - Asset Monitoring | Emerson,Browse Asset Monitoring products,Category | Brand | EMR Industry,
FALSE,Automotive-Vacs,Vacuum-Equipment,Automotive Vacs,automotive-vacs,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Bransonic-Tabletop-Cleaners,Cleaning-Systems-and-Cell-Disruptors,Bransonic Tabletop Cleaners,bransonic-tabletop-cleaners,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Bulk-Storage-Transport-Equipment,Valves-Actuators-Regulators,Bulk Storage and Transport Equipment,,Products - Bulk Storage and Transport Equipment | Emerson,Browse Bulk Storage and Transport Equipment products,Category | Brand | EMR Valve Type | EMR Industry | EMR Application | EMR Material | EMR Certifications | EMR Valve Size | EMR Operating Temperature | EMR Shutoff Class | EMR Seat Seal Type | EMR Style | EMR Media | EMR Fluid State | EMR Valve Size Standard,
FALSE,Cable-Kits,Indoor-Outdoor-Heating-Cables,Cable Kits,cable-kits,,,,
FALSE,Commercia-Refrigeration-Electronics,Refrigeration,Commercia Refrigeration Electronics,commercia-refrigeration-electronics,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-AC-Electronics,Heating-and-Air-Conditioning,Commercial AC Electronics,,,,Category | EMR Input Voltage Range | EMR HVAC System Type | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Air-Conditioning,Heating-and-Air-Conditioning,Commercial Air Conditioning,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Air-Conditioning-Components,Heating-and-Air-Conditioning,Commercial Air Conditioning Components,commercial-air-conditioning-components,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Condensing-Units,Refrigeration,Commercial Condensing Units,commercial-condensing-units,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
